"text","post_content","source_type"
"Alex Alex Sachant que le Maghreb et le moyen orient ainsi que de nombreux autres continents sont également envahis par les sangliers, donc selon vous tous ces animaux seraient issus des élevages français 😅😂🤣
Alex Alex faut arrêter la fumette ça devient dangereux. 😵‍💫","Bruno Meunier est président de la Fédération régionale des chasseurs de Nouvelle-Aquitaine qui compte 150 000 adhérents","post"
"Marielle Beb Jurat supprime ton com...","Surpris par une manœuvre d’un automobiliste qui voulait s’engager dans un sens interdit, deux motards de la gendarmerie ont dû être pris en charge par les secours.
➡️ https://l.larepubliquedespyrenees.fr/5aA","post"
"Ça arrive en France... préparez vos bras","Ebola en République démocratique du Congo : près de 3 000 morts, l’épidémie dépasse les 6 000 cas confirmés","post"
"Je ne l'oublierai jamais c'était une femme très simple .","Vidéo. Rappelez-vous, en 1997, Lady Diana Spencer perdait la vie à l’âge de 36 ans dans un tragique accident de voiture à Paris","post"
"Lolo Fcs tient le résultat des 68 tard","Santé mentale : ces jeunes actifs qui enchaînent les arrêts maladie pour ne pas « cravacher » comme leurs parents
🔗https://l.sudouest.fr/JMbI","post"
"Je suis juste venu pour Charlotte et Boris  et pas du tout dessus. Vivement l'an prochain avec d'autres artistes DJ de la scène internationale ou mondiale. Merci à Pagaille pour cette superbe soirée","🎧🎶 Pour son passage à Pagaille, Charlotte de Witte a mis les Quinconces à genoux. Show laser et écrans LED, la trentenaire belge a dégainé un set sacrément musclé, sur fond d’appels à la « résistance » et à protéger « la culture club ». Ce samedi 29 août, la meilleure DJ techno au monde a confirmé devant le public bordelais son statut de véritable reine de la techno, avant l’arrivée de son confrère Boris Brejcha en clôture de festival.","post"
"Un bel hommage à Fernand, à l’homme généreux et au bâtisseur qu’il était. Par l’UTL, L’Établi et tant d’autres engagements, il laisse une empreinte profonde à Soustons et sur notre territoire. Toutes mes pensées à sa famille et à ses proches.

Merci à SudOuest.fr Landes d’avoir ainsi salué son parcours et son œuvre.","Fernand Mainpin s’en est allé les premiers jours d’août, plongeant sa famille et ses amis dans une grande tristesse. Les membres du conseil d’administration de l’Université du temps libre (UTL) Landes Côte Sud ont souhaité lui rendre hommage
🔗https://l.sudouest.fr/zwZl","post"
"Ahah sacré sanction ça,trop dur🤮 après on s'étonne de la qualité de notre justice🤬🤬🤬🤮🤮🤮","🔴 Affaire Lyhanna : la procureure d’Auch Clémence Meyer, mutée au parquet général de Bordeaux « dans les prochains jours »
🔗https://l.sudouest.fr/SgrJ","post"
"Une nouvelle canicule est annoncée à la fin de la semaine...","Après un été marqué par les incendies, le bilan est mitigé pour les commerces du Sud-Médoc. À Lacanau et à Lège-Cap-Ferret, les commerçants accusent le coup, loin des objectifs fixés avant le début de la saison. Ils espèrent un mois de septembre plus prolifique
🔗https://l.sudouest.fr/15f4","post"
"Augmenter le nombre serait déjà un bon début","Présidentielle 2027 : Raphaël Glucksmann veut augmenter d’au moins 10 % les salaires des enseignants","post"
